dataset,brid,pipeid
utilb,"153,092",{3C7CB89C-DA75-4CE1-BEA6-2E27B935351A}
utilb,"153,095",{02F36D90-CAE2-4AD8-BFBF-C8012417088B}
utilb,"1,531",{C3B75053-B8B7-47EC-8EA3-A909AAE86D8A}
utilb,"15,310",{923145C6-4945-4E84-AE1C-9EF74AFAFBDE}
utilb,"153,102",{8A7F480A-1EE6-4D9A-ABE0-07CC93388EE2}
utilb,"153,103",{98ACE566-AF57-415D-9D69-E6E45EDC9959}
utilb,"153,104",{5D4EC584-E947-439E-9F04-2926D7071C36}
utilb,"153,107",{0B19B115-6D6C-4496-A58A-5F45B51F4CEB}
utilb,"15,311",{B0E4FE29-9493-4162-9C69-3EB6E6754AED}
utilb,"153,116",{30889788-2925-4088-B23E-E84D0C640B40}
utilb,"153,118",{07E11854-1005-4739-BB5A-CBB38A2DF886}
utilb,"15,312",{832A82C5-8EA8-4911-A895-128022C094DE}
utilb,"153,126",{E24EE637-AA07-46CA-BA58-367FADC49711}
utilb,"15,313",{DBFEA434-C7C8-4143-9EF3-04827501B523}
utilb,"153,130",{E24EE637-AA07-46CA-BA58-367FADC49711}
utilb,"153,135",{E24EE637-AA07-46CA-BA58-367FADC49711}
utilb,"153,139",{0DD1AC07-C07F-41D4-8122-A5FE6378FEEB}
utilb,"15,314",{774B0BB5-8C43-467B-B2EF-E0200B1430A3}
utilb,"153,147",{73215C8F-388E-439F-A923-6A128203DA23}
utilb,"153,148",{2BE9330F-9697-4E67-A7A8-9A53E8E18B90}
utilb,"15,315",{8275DAD2-ECD2-44EF-9C31-7249952F6A99}
utilb,"153,151",{12E9B28E-FB13-4554-B1EF-9D26ED174E6D}
utilb,"153,154",
utilb,"153,156",
utilb,"153,157",{DFB73719-0692-416B-8689-13970D5AFA32}
utilb,"15,316",{71CD36BB-2AD5-4A67-8E7B-E905AF46A124}
utilb,"153,169",{7301EA00-3EF7-451E-85F2-32EF36C3A4B7}
utilb,"15,317",{46CD2154-A2F4-4AA1-B02F-ECCB5EB1F697}
utilb,"153,174",{A71C1ACF-1D1B-41FD-9387-8782529242DE}
utilb,"153,178",{E3616043-7E2B-4951-9C7E-6C1AEA3A7DC5}
utilb,"15,318",{3D406D90-B5DF-49DE-AE80-4CBE07E71941}
utilb,"153,184",
utilb,"153,188",{B449F085-2C5B-4587-B1D6-B75124CC99C4}
utilb,"15,319",{9AE8545D-2B9E-4EBF-ACBA-68DC05D26694}
utilb,"153,196",{330D8B9C-C532-40D1-A88C-0120ECF3E117}
utilb,"153,197",
utilb,"153,198",{C28B3E63-3B45-47DB-8563-77F2C3A82DD8}
utilb,"153,199",{56481CDE-6E97-4DFB-8F46-353BA66B6246}
utilb,"1,532",{72BD45DC-1AE9-4E9A-B78D-AA4E9D69D34A}
utilb,"15,320",{C387C649-79B3-49FC-8456-191A9064C0E6}
utilb,"153,200",
utilb,"153,201",{BC99A379-8F22-4641-80ED-5355CC307726}
utilb,"153,205",{81578195-C37C-4C2C-94F5-3624A56633FD}
utilb,"153,206",{911B28AA-17A2-4AF4-80F9-B0785BA20944}
utilb,"15,321",{6D9408D4-42E1-4766-B883-CA4D0DEC7DA2}
utilb,"153,212",{4814B11B-2C53-4C86-8E91-A5814476422F}
utilb,"15,322",{61903CCD-3570-4799-918F-6DA6549DD75B}
utilb,"153,220",{1E78919F-75E9-4105-A886-D7C01B96EBA9}
utilb,"153,224",{7AD4A4B3-E1FD-4502-90E1-34E2476614D0}
utilb,"153,227",{E85BBBF4-7AB7-412C-B91C-48506E3201DD}
utilb,"15,323",{AAECE978-4041-4624-8D7A-BEBABFDF8BB6}
utilb,"153,235",
utilb,"153,239",{1CA95691-2A61-43A1-88B5-2E5687ACCB15}
utilb,"15,324",{B6F35D8F-F583-4942-8276-E37611B2AA1A}
utilb,"153,242",{98B43052-89FE-4BD8-893C-882872A36A47}
utilb,"15,325",{50A42A17-F875-42D1-859E-252F0E71703A}
utilb,"153,251",
utilb,"15,326",{669F1760-2A52-4D18-976F-F9AF24A8CBBE}
utilb,"153,266",{0C31277A-48C0-493C-877C-F2317ED50B4D}
utilb,"15,327",{C70A6557-E424-4AC9-A6B0-4B7240565944}
utilb,"15,328",{B4D3937E-7E94-44A4-A977-CB59F77DBB0E}
utilb,"153,288",{342B1709-22A3-4F7D-BF7A-6BFF0B1B0D75}
utilb,"15,329",{94438078-2BD6-4D20-9625-CB7D50716F87}
utilb,"153,291",{E995349B-1CF4-4079-B00F-F4DAAB422F72}
utilb,"153,292",{342B1709-22A3-4F7D-BF7A-6BFF0B1B0D75}
utilb,"1,533",{25781CEB-16F7-47CE-9C7F-1494A9992981}
utilb,"15,330",{94438078-2BD6-4D20-9625-CB7D50716F87}
utilb,"153,300",{6E1B38B0-E59E-4253-AB55-4284BB572E85}
utilb,"153,304",{FC696CAA-5C73-4890-99BF-45CB9216F2F3}
utilb,"15,331",{2D7B5AAA-37D4-4BEE-AEF7-0016728B5A2B}
utilb,"153,312",{FC696CAA-5C73-4890-99BF-45CB9216F2F3}
utilb,"153,313",{F193C046-3455-4880-94A2-4E8DFD07EC07}
utilb,"15,332",{15A23E88-E31C-4D80-90DB-0FBE30D301E5}
utilb,"153,329",{93048CF4-81CD-43BB-BE23-091A31B6BB92}
utilb,"15,333",{54913396-8FE3-430E-BCA7-25DCA73A0CDA}
utilb,"153,336",{92860174-C68A-49AE-8868-A8EFDDF151E0}
utilb,"15,334",{869F892F-BD6C-4D7E-97B5-C53B517FB3D6}
utilb,"153,343",{93048CF4-81CD-43BB-BE23-091A31B6BB92}
utilb,"153,349",{6645B0BD-F939-408B-949A-5F1AD9D64057}
utilb,"15,335",{527F5D47-6D4F-4023-B3B8-DAB36353C9B9}
utilb,"153,354",{8F4E8AFC-1F16-4595-932B-22F8543E9D4E}
utilb,"153,355",{BFAC22DF-AE72-4AEE-AC73-6DBF25F6116B}
utilb,"153,356",{99FC0C15-B231-4244-B108-E19417EB9AD3}
utilb,"153,357",{56DF6EED-4EF8-4DD1-A5BC-BBB9B099C159}
utilb,"153,358",
